---------Preisupdate vom 09.02.2015 ----------
Artikelnr 100640 : Preis Neu => 1.60, region = 2001
Artikelnr 100676 : Preis Neu => 0.72, region = 2001
Artikelnr 100767 : Preis Neu => 12.20, region = 2001
Artikelnr 101176 : Preis Neu => 0.47, region = 2001
Artikelnr 101309 : Preis Neu => 0.42, region = 2001
Artikelnr 101462 : Preis 0.63 => 0.69, region = 2001
Artikelnr 101565 : Preis 0.94 => 1.03, region = 2001
Artikelnr 101607 : Preis 1.51 => 1.64, region = 2001
Artikelnr 101693 : Preis 1.51 => 1.64, region = 2001
Artikelnr 101711 : Preis 2.01 => 2.19, region = 2001
Artikelnr 101802 : Preis 1.91 => 2.08, region = 2001
Artikelnr 101826 : Preis 2.52 => 2.74, region = 2001
Artikelnr 101899 : Preis 2.29 => 2.49, region = 2001
Artikelnr 101917 : Preis 2.97 => 3.23, region = 2001
Artikelnr 101954 : Preis 2.97 => 3.23, region = 2001
Artikelnr 101966 : Preis 5.01 => 5.45, region = 2001
Artikelnr 101980 : Preis 3.26 => 3.49, region = 2001
Artikelnr 102030 : Preis 6.17 => 6.71, region = 2001
Artikelnr 102405 : Preis Neu => 13.77, region = 2001
Artikelnr 102612 : Preis 3.13 => 3.44, region = 2001
Artikelnr 102636 : Preis 3.99 => 4.38, region = 2001
Artikelnr 102697 : Preis 1.09 => 1.19, region = 2001
Artikelnr 102740 : Preis 1.96 => 2.13, region = 2001
Artikelnr 102764 : Preis 2.86 => 3.12, region = 2001
Artikelnr 102806 : Preis 3.03 => 3.29, region = 2001
Artikelnr 102843 : Preis 4.46 => 4.85, region = 2001
Artikelnr 102855 : Preis 5.69 => 6.19, region = 2001
Artikelnr 102867 : Preis 7.71 => 8.39, region = 2001
Artikelnr 103008 : Preis 7.30 => 7.33, region = 2001
Artikelnr 103010 : Preis 9.27 => 9.45, region = 2001
Artikelnr 103471 : Preis 1.92 => 1.46, region = 2001
Artikelnr 106265 : Preis Neu => 0.14, region = 2001
Artikelnr 106939 : Preis Neu => 0.03, region = 2001
Artikelnr 107075 : Preis Neu => 0.00, region = 2001
Artikelnr 107427 : Preis Neu => 3.70, region = 2001
Artikelnr 107531 : Preis Neu => 0.63, region = 2001
Artikelnr 109151 : Preis Neu => 0.02, region = 2001
Artikelnr 109424 : Preis Neu => 0.01, region = 2001
Artikelnr 110704 : Preis Neu => 2.40, region = 2001
Artikelnr 111150 : Preis Neu => 2.61, region = 2001
Artikelnr 111174 : Preis Neu => 2.61, region = 2001
Artikelnr 111204 : Preis Neu => 2.54, region = 2001
Artikelnr 111230 : Preis Neu => 2.66, region = 2001
Artikelnr 111241 : Preis Neu => 2.15, region = 2001
Artikelnr 111368 : Preis 69.68 => 105.12, region = 2001
Artikelnr 111423 : Preis 3.99 => 16.28, region = 2001
Artikelnr 111629 : Preis 5.54 => 17.83, region = 2001
Artikelnr 111757 : Preis Neu => 1.71, region = 2001
Artikelnr 111770 : Preis Neu => 2.48, region = 2001
Artikelnr 111782 : Preis Neu => 3.22, region = 2001
Artikelnr 111794 : Preis Neu => 3.58, region = 2001
Artikelnr 111800 : Preis Neu => 5.04, region = 2001
Artikelnr 111812 : Preis Neu => 5.47, region = 2001
Artikelnr 111824 : Preis Neu => 10.43, region = 2001
Artikelnr 111836 : Preis Neu => 7.31, region = 2001
Artikelnr 111848 : Preis Neu => 10.58, region = 2001
Artikelnr 111850 : Preis Neu => 13.04, region = 2001
Artikelnr 111861 : Preis Neu => 25.77, region = 2001
Artikelnr 111873 : Preis Neu => 4.40, region = 2001
Artikelnr 111897 : Preis Neu => 5.57, region = 2001
Artikelnr 111939 : Preis Neu => 12.14, region = 2001
Artikelnr 111976 : Preis Neu => 2.71, region = 2001
Artikelnr 111990 : Preis Neu => 3.96, region = 2001
Artikelnr 112038 : Preis Neu => 12.22, region = 2001
Artikelnr 112142 : Preis 6.47 => 7.01, region = 2001
Artikelnr 112166 : Preis 8.32 => 8.69, region = 2001
