---------Preisupdate vom 30.09.2015 ----------
Artikelnr 902569 : Preis 1.72 => 1.71, region = 2001
---------Ende Preisupdate vom 30.09.2015 ----------
---------Preisupdate vom 30.09.2015 ----------
Artikelnr 100640 : Preis Neu => 1.60, region = 2001
Artikelnr 100676 : Preis Neu => 0.72, region = 2001
Artikelnr 100767 : Preis Neu => 12.20, region = 2001
Artikelnr 101176 : Preis Neu => 0.47, region = 2001
Artikelnr 101292 : Preis Neu => 0.92, region = 2001
Artikelnr 101309 : Preis Neu => 0.42, region = 2001
Artikelnr 101450 : Preis Neu => 1.10, region = 2001
Artikelnr 101462 : Preis Neu => 0.69, region = 2001
Artikelnr 101565 : Preis Neu => 1.03, region = 2001
Artikelnr 101607 : Preis Neu => 1.64, region = 2001
Artikelnr 101670 : Preis Neu => 1.23, region = 2001
Artikelnr 101693 : Preis Neu => 1.64, region = 2001
Artikelnr 101711 : Preis Neu => 2.19, region = 2001
Artikelnr 101802 : Preis Neu => 2.08, region = 2001
Artikelnr 101826 : Preis Neu => 2.74, region = 2001
Artikelnr 101899 : Preis Neu => 2.49, region = 2001
Artikelnr 101917 : Preis Neu => 3.23, region = 2001
Artikelnr 101954 : Preis Neu => 3.23, region = 2001
Artikelnr 101966 : Preis Neu => 5.45, region = 2001
Artikelnr 101980 : Preis Neu => 3.49, region = 2001
Artikelnr 102030 : Preis Neu => 6.71, region = 2001
Artikelnr 102363 : Preis Neu => 5.22, region = 2001
Artikelnr 102375 : Preis Neu => 15.68, region = 2001
Artikelnr 102405 : Preis Neu => 21.41, region = 2001
Artikelnr 102429 : Preis Neu => 28.61, region = 2001
Artikelnr 102442 : Preis Neu => 31.08, region = 2001
Artikelnr 102521 : Preis Neu => 0.38, region = 2001
Artikelnr 102533 : Preis Neu => 0.55, region = 2001
Artikelnr 102545 : Preis Neu => 0.87, region = 2001
Artikelnr 102557 : Preis Neu => 1.58, region = 2001
Artikelnr 102612 : Preis Neu => 3.44, region = 2001
Artikelnr 102636 : Preis Neu => 4.38, region = 2001
Artikelnr 102697 : Preis Neu => 1.19, region = 2001
Artikelnr 102740 : Preis Neu => 2.13, region = 2001
Artikelnr 102764 : Preis Neu => 3.12, region = 2001
Artikelnr 102806 : Preis Neu => 3.29, region = 2001
Artikelnr 102843 : Preis Neu => 4.85, region = 2001
Artikelnr 102855 : Preis Neu => 6.19, region = 2001
Artikelnr 102867 : Preis Neu => 8.39, region = 2001
Artikelnr 102958 : Preis Neu => 5.26, region = 2001
Artikelnr 102971 : Preis Neu => 6.39, region = 2001
Artikelnr 103008 : Preis Neu => 7.33, region = 2001
Artikelnr 103010 : Preis Neu => 9.45, region = 2001
Artikelnr 103392 : Preis Neu => 1.47, region = 2001
Artikelnr 103409 : Preis Neu => 1.48, region = 2001
Artikelnr 103471 : Preis Neu => 1.46, region = 2001
Artikelnr 103586 : Preis Neu => 0.01, region = 2001
Artikelnr 103616 : Preis Neu => 0.04, region = 2001
Artikelnr 103628 : Preis Neu => 0.04, region = 2001
Artikelnr 103630 : Preis Neu => 0.04, region = 2001
Artikelnr 103689 : Preis Neu => 0.06, region = 2001
Artikelnr 103690 : Preis Neu => 0.08, region = 2001
Artikelnr 103770 : Preis Neu => 0.09, region = 2001
Artikelnr 103793 : Preis Neu => 0.10, region = 2001
Artikelnr 103811 : Preis Neu => 0.13, region = 2001
Artikelnr 103860 : Preis Neu => 0.08, region = 2001
Artikelnr 103940 : Preis Neu => 0.13, region = 2001
Artikelnr 104049 : Preis Neu => 2.08, region = 2001
