wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
66194,388845,VerteilerData,662374,10,400010,4200120395,10,1021977000,3Z,65,750,NULL,Boden,Glatt,NULL,65,1,ohne,0,0,2
66194,388843,VerteilerData,662374,10,400010,4200120395,10,1021977000,1X,65,5110,NULL,Glatt,Boden,NULL,65,1,ohne,0,0,4
66194,388844,VerteilerData,662374,10,400010,4200120395,10,1021977000,2Y,65,5200,NULL,Glatt,Glatt,NULL,65,1,ohne,0,0,3
67768,411270,VerteilerData,678900,10,400010,4200135481,10,1022494000,S1,40,7976,"DINEN10217-1-Fe -glatt",Glatt,Nut,NULL,40,12,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,72
74257,484132,VerteilerData,755923,20,400010,4200205734,20,1026378000,7,50,1234,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,50,4,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
74262,484208,VerteilerData,755894,30,400010,4200205683,30,1026378000,4,200,1237,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
74262,484207,VerteilerData,755894,30,400010,4200205683,30,1026378000,6,200,3100,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
74379,485136,VerteilerData,757328,20,400010,4200207024,20,1026540000,4,200,1237,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
74379,485137,VerteilerData,757328,20,400010,4200207024,20,1026540000,6,200,2500,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
74380,485140,PumpenverteilerData,757328,30,400010,4200207024,30,1026540000,1,150,890,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,1
74380,485139,PumpenverteilerData,757328,30,400010,4200207024,30,1026540000,2,150,890,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,1
74384,485180,VerteilerData,757300,30,400011,4200207102,30,1026100000,1,150,800,"DINEN10217-1-Fe -glatt",NULL,Scheibe,NULL,150,46,verzinkt,0,0,92
74397,485222,VerteilerData,757328,50,400040,4200207024,50,1026540000,5,200,1013,"DINEN10217-1-Fe -glatt",Glatt,Flachflansch,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
74398,485239,VerteilerData,757300,20,400041,4200207102,20,1026100000,-,100,200,"DINEN10217-1-Fe -glatt",Glatt,Glatt,NULL,100,4,verzinkt,0,0,4
74433,485677,VerteilerData,757968,40,400010,4200207588,40,1026540000,6,32,702,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,2,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,2
74433,485678,VerteilerData,757968,40,400010,4200207588,40,1026540000,100,50,5998,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,50,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,2
74433,485679,VerteilerData,757968,40,400010,4200207588,40,1026540000,101,50,7700,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,50,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,2
74458,485918,VerteilerData,759004,10,400011,4200208449,10,1026367000,2.6,150,700,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,150,1,verzinkt,0,0,1
74458,485921,VerteilerData,759004,10,400011,4200208449,10,1026367000,2.9,150,2400,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,150,1,verzinkt,0,0,1
74486,486092,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-88,80,1091,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486098,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-94,80,1605,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486104,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-100,80,1606,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486096,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-92,80,1925,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486103,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-99,80,1950,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486105,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-101,80,2228,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486097,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-93,80,2898,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,1,0
74486,486086,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-82,80,3587,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486079,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-67,80,3733,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,5,verzinkt,0,10,0
74486,486101,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-97,80,3778,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,2,verzinkt,0,4,0
74486,486100,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-96,80,3842,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486099,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-95,80,3928,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486094,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-90,80,4132,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486081,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-77,80,4232,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,2,verzinkt,0,4,0
74486,486106,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-102,80,4722,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486095,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-91,80,5000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486088,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-84,80,5000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486089,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-85,80,5000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486102,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-98,80,5000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486077,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-65,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,11,verzinkt,0,33,0
74486,486091,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-87,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,2,verzinkt,0,4,0
74486,486078,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-66,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,11,verzinkt,0,22,0
74486,486080,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-76,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,4,0
74486,486084,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-80,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,3,verzinkt,0,9,0
74486,486085,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-81,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,3,verzinkt,0,6,0
74486,486093,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-89,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,3,0
74486,486087,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-83,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74486,486083,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-79,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,2,verzinkt,0,8,0
74486,486082,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-78,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,4,0
74486,486090,VerteilerData,759841,20,400010,4200209204,20,1021357000,5-86,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,3,verzinkt,0,9,0
74487,486109,VerteilerData,759841,30,400010,4200209204,30,1021357000,5-74,80,3625,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,2,0
74487,486110,VerteilerData,759841,30,400010,4200209204,30,1021357000,5-75,80,6000,"DIN2448 Rohr nahtlos normalwandig",Nut,Nut,NULL,80,1,verzinkt,0,4,0
74495,486184,VerteilerData,760091,10,400011,4200209615,10,1021900000,8,250,1650,"DIN2448 Rohr nahtlos normalwandig",Flachflansch,Flachflansch,NULL,250,1,verzinkt,0,0,1
74495,486183,VerteilerData,760091,10,400011,4200209615,10,1021900000,7,250,2200,"DIN2448 Rohr nahtlos normalwandig",Flachflansch,Nut,NULL,250,1,verzinkt,0,0,1
74503,486236,PumpenverteilerData,4200177713,230,400010,4200177713,230,2000675002,2,65,600,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,65,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,0
74504,486237,PumpenprobierleitungData,4200177713,250,400010,4200177713,250,2000675002,3,100,2015,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
74505,486240,PumpenverteilerData,760288,10,400010,4200209661,10,1023524000,"P8 ND",80,728,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,80,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",2,0,2
74505,486241,PumpenverteilerData,760288,10,400010,4200209661,10,1023524000,"P9 HD",100,778,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,1
74507,486251,VerteilerData,760288,30,400010,4200209661,30,1023524000,P12,150,1790,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
74507,486256,VerteilerData,760288,30,400010,4200209661,30,1023524000,P16,150,3000,"DINEN10217-1-Fe -glatt",Nut,Glatt,NULL,150,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,6
74507,486253,VerteilerData,760288,30,400010,4200209661,30,1023524000,P13.2,150,3295,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
74509,486265,PumpenverteilerData,4200209611,210,400010,4200209611,210,2000675002,1,65,600,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,65,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,0
74510,486266,PumpenprobierleitungData,4200209611,220,400010,4200209611,220,2000675002,2,100,1855,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
74511,486283,VerteilerData,760314,10,400010,4200209673,10,1025686000,940,32,6500,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
74511,486277,VerteilerData,760314,10,400010,4200209673,10,1025686000,920,32,7965,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
74516,486334,VerteilerData,760288,80,400040,4200209661,80,1023524000,1,125,475,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,125,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",2,0,0
74518,486361,VerteilerData,760484,10,400010,4200209841,10,1026654000,12,65,5070,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
74518,486358,VerteilerData,760484,10,400010,4200209841,10,1026654000,9,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
74518,486351,VerteilerData,760484,10,400010,4200209841,10,1026654000,2,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,5
74518,486352,VerteilerData,760484,10,400010,4200209841,10,1026654000,3,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,6
74518,486355,VerteilerData,760484,10,400010,4200209841,10,1026654000,6,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
74518,486356,VerteilerData,760484,10,400010,4200209841,10,1026654000,7,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,5
74518,486353,VerteilerData,760484,10,400010,4200209841,10,1026654000,4,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
74518,486357,VerteilerData,760484,10,400010,4200209841,10,1026654000,8,65,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
