wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
78719,528274,VerteilerData,816890,10,400010,4200261570,10,1027812000,HD14,40,9895,"DINEN10217-1-Fe -glatt",Scheibe,Nut,NULL,40,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
78719,528273,VerteilerData,816890,10,400010,4200261570,10,1027812000,HD13,40,11430,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,40,1,"weiss gepulvert (ähnlich RAL 9010 reinweiss)",0,0,4
78741,528451,VerteilerData,817330,10,400010,4200261949,10,1028839000,5,200,7710,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
78741,528449,VerteilerData,817330,10,400010,4200261949,10,1028839000,3,200,7710,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
78743,528463,VerteilerData,817331,10,400010,4200261950,10,1028839000,4,200,7110,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
78829,529428,VerteilerData,818560,10,400010,4200263152,10,1028702000,13,32,939,"DINEN10217-1-Fe -glatt",Scheibe,Nut,NULL,32,3,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
78829,529429,VerteilerData,818560,10,400010,4200263152,10,1028702000,18,32,1081,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,3,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
78903,530247,VerteilerData,819555,10,400041,4200264089,10,1027702000,1,80,469,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,80,7,verzinkt,0,7,7
78904,530269,VerteilerData,819560,10,400041,4200264095,10,1027704000,1,80,469,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,80,7,"einfach grundiert",0,7,7
78912,530313,VerteilerData,820160,20,400010,4200264542,20,0000000000,8,65,1600,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
78912,530310,VerteilerData,820160,20,400010,4200264542,20,0000000000,5,65,1897,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
