wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
79746,539177,32,32,55,0,0,180
79746,539178,32,32,8,0,0,180
79746,539179,32,32,8,0,0,180
80296,546699,40,40,14,0,0,270
81497,561707,40,40,18,0,0,0
81497,561708,40,40,18,0,0,0
81511,561921,40,40,12,0,0,0
81511,561922,40,40,24,0,0,0
81511,561923,40,40,6,0,0,0
83154,580549,50,50,19,0,0,180
83154,580553,50,50,19,0,0,180
83155,580554,50,50,4,0,0,180
83155,580568,50,50,4,0,0,180
147716,528459,65,65,60,0,0,0
147718,528471,65,65,60,0,0,0
147834,529910,32,32,8,0,0,180
147834,529911,32,32,8,0,0,180
147834,529912,32,32,4,0,0,180
147834,529913,32,32,4,0,0,180
147927,531392,32,50,1,0,0,270
147945,531662,32,32,30,0,0,90
147950,531729,40,40,16,0,0,180
147950,531730,40,40,3,0,0,180
147950,531731,40,40,3,0,0,180
147952,531766,32,32,1,0,0,90
147958,531896,40,40,1,0,0,180
147991,532349,32,32,10,0,0,270
147991,532350,32,32,10,0,0,270
147991,532351,32,32,10,0,0,270
147994,532394,32,32,20,0,0,90
147994,532395,32,32,10,0,0,270
147994,532396,32,32,10,0,0,270
147994,532397,32,32,10,0,0,90
147994,532398,32,32,10,0,0,270
148004,532684,32,32,1,0,0,270
148004,532692,32,32,1,0,0,270
148019,533031,32,32,1,0,0,180
148019,533032,32,32,16,0,0,180
148019,533033,32,32,1,0,0,180
148019,533034,32,32,1,0,0,180
148019,533035,32,32,3,0,0,180
148019,533036,32,32,3,0,0,180
148035,533261,32,32,1,0,0,0
148035,533270,32,32,1,0,0,180
148035,533272,32,32,1,0,0,180
148082,533917,40,40,3,0,0,180
148082,533918,40,40,3,0,0,180
148144,534986,32,32,16,0,0,180
148196,535932,32,32,9,0,0,270
148208,536120,32,32,1,0,0,90
148208,536121,32,32,1,0,0,90
148208,536123,32,32,1,0,0,270
148208,536125,32,32,1,0,0,270
148208,536127,32,32,2,0,0,270
148208,536128,32,32,3,0,0,90
148208,536130,32,32,2,0,0,90
148208,536131,32,32,1,0,0,270
148208,536132,32,32,2,0,0,270
148208,536133,32,32,1,0,0,90
148235,536552,32,32,5,0,0,0
148235,536553,32,32,6,0,0,0
148235,536554,32,32,1,0,0,0
148262,537033,32,32,4,0,0,180
148262,537034,32,32,4,0,0,180
148262,537035,32,32,1,0,0,180
148263,537036,32,32,9,0,0,180
148263,537037,32,32,4,0,0,180
148264,537038,32,40,3,0,0,180
148267,537068,32,32,2,0,0,180
148282,537315,40,40,1,0,0,90
148332,537958,50,50,26,0,0,180
148332,537959,50,50,26,0,0,180
148342,538340,50,50,3,0,0,180
148342,538341,50,50,24,0,0,180
148342,538342,50,50,1,0,0,180
148342,538343,50,50,1,0,0,90
148347,538375,40,40,12,0,0,180
148347,538376,40,40,3,0,0,270
148347,538377,40,40,1,0,0,90
148347,538377,40,40,1,0,0,90
148347,538378,40,40,1,0,0,270
148347,538378,40,40,1,0,0,270
148347,538379,40,40,2,0,0,270
148368,538592,32,32,1,0,0,180
148368,538593,32,32,1,0,0,180
148386,538865,32,32,5,0,0,270
148386,538866,32,32,4,0,0,270
148427,539445,50,50,6,0,0,90
148427,539446,50,50,6,0,0,270
148429,539448,50,65,6,0,0,180
148434,539642,32,50,1,0,0,180
148434,539643,50,50,1,0,0,0
148434,539644,32,50,1,0,0,180
148434,539644,32,50,1,0,0,0
148434,539645,32,50,1,0,0,180
148434,539646,32,50,1,0,0,0
148434,539646,32,50,1,0,0,180
148434,539647,32,50,1,0,0,180
