wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,handschwMuff,WaxWinkel
81421,560417,50,150,0,0,2,0
81421,560418,50,150,0,0,2,181
81421,560422,50,200,0,0,1,180
81421,560422,50,150,0,0,1,180
147791,529476,25,65,0,0,1,180
147791,529478,25,65,0,0,3,180
147791,529480,25,65,0,0,1,180
147975,532207,15,40,0,0,2,0
147975,532210,15,40,0,0,2,0
148012,532792,25,32,0,0,7,270
148012,532793,25,32,0,0,7,270
148012,532793,25,32,0,0,7,270
148012,532795,25,32,0,0,7,270
148012,532800,15,32,0,0,1,0
148012,532800,25,32,0,0,1,0
148041,533343,15,32,0,0,1,0
148041,533343,20,32,0,0,1,270
148041,533344,15,32,0,0,1,0
148041,533344,20,32,0,0,1,270
148041,533345,15,32,0,0,1,0
148041,533345,20,32,0,0,1,270
148041,533346,15,32,0,0,1,0
148041,533346,20,32,0,0,1,270
148041,533347,15,32,0,0,1,0
148041,533347,20,32,0,0,1,270
148041,533348,15,32,0,0,1,0
148041,533348,15,32,0,0,1,0
148041,533348,20,32,0,0,1,270
148041,533348,20,32,0,0,1,270
148041,533349,15,32,0,0,1,0
148041,533349,20,32,0,0,1,270
148041,533350,15,32,0,0,1,0
148041,533350,20,32,0,0,1,270
148041,533351,15,32,0,0,1,0
148041,533351,20,32,0,0,1,270
148041,533352,15,32,0,0,1,0
148041,533352,20,32,0,0,1,270
148041,533353,15,32,0,0,1,270
148041,533353,20,32,0,0,1,180
148041,533354,25,32,0,0,1,180
148041,533355,25,32,0,0,1,180
148041,533355,25,32,0,0,1,180
148045,533408,20,32,0,0,10,0
148045,533408,20,32,0,0,10,0
148045,533409,20,32,0,0,5,0
148045,533409,20,32,0,0,5,0
148064,533644,25,50,0,0,1,0
148064,533649,25,50,0,0,2,0
148064,533650,25,50,0,0,2,0
148064,533653,25,50,0,0,1,0
148064,533654,25,50,0,0,1,0
148078,533850,20,32,0,0,1,0
148078,533851,20,32,0,0,1,270
148078,533852,20,32,0,0,1,90
148078,533852,20,32,0,0,1,90
148078,533853,20,32,0,0,1,90
148078,533853,20,32,0,0,1,270
148078,533854,20,32,0,0,2,0
148078,533854,20,32,0,0,2,0
148078,533855,20,32,0,0,2,270
148078,533855,20,32,0,0,2,270
148078,533856,20,32,0,0,1,0
148078,533857,20,32,0,0,1,270
148078,533857,20,32,0,0,1,270
148078,533858,20,32,0,0,2,270
148078,533859,20,32,0,0,1,90
148078,533860,20,32,0,0,1,0
148078,533861,20,32,0,0,1,270
148078,533861,20,32,0,0,1,270
148078,533862,20,32,0,0,1,0
148078,533862,20,32,0,0,1,0
148078,533862,20,32,0,0,1,0
148078,533863,20,32,0,0,1,0
148078,533863,20,32,0,0,1,0
148078,533863,15,32,0,0,1,0
148078,533864,20,32,0,0,1,270
148078,533864,20,32,0,0,1,270
148078,533865,20,32,0,0,1,270
148078,533865,20,32,0,0,1,270
148078,533866,20,32,0,0,1,90
148078,533866,20,32,0,0,1,90
148078,533867,20,32,0,0,1,270
148078,533868,20,32,0,0,1,270
148078,533869,20,32,0,0,1,0
148078,533870,20,32,0,0,1,0
148078,533871,15,32,0,0,1,0
148078,533871,15,32,0,0,1,0
148078,533872,20,32,0,0,1,270
148078,533872,20,32,0,0,1,90
148078,533872,20,32,0,0,1,270
148078,533873,20,32,0,0,1,270
148078,533873,20,32,0,0,1,270
148078,533874,20,32,0,0,1,270
148078,533874,20,32,0,0,1,90
148078,533875,20,32,0,0,1,270
148078,533875,20,32,0,0,1,270
148078,533876,20,32,0,0,1,270
148078,533876,20,32,0,0,1,270
148078,533877,20,32,0,0,2,270
148078,533877,20,32,0,0,2,270
148078,533877,20,32,0,0,2,270
148078,533878,20,32,0,0,1,270
148078,533879,20,32,0,0,1,0
148079,533880,15,32,0,0,1,0
148079,533881,15,32,0,0,1,0
148079,533881,15,32,0,0,1,0
148079,533882,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533884,15,32,0,0,1,0
148079,533884,15,32,0,0,1,0
148079,533885,15,32,0,0,2,0
148079,533885,15,32,0,0,2,0
148079,533886,15,32,0,0,1,0
148079,533886,15,32,0,0,1,0
148079,533887,15,32,0,0,1,0
148079,533888,15,32,0,0,1,0
148079,533888,15,32,0,0,1,0
148079,533889,15,32,0,0,4,0
148079,533889,15,32,0,0,4,0
148079,533890,15,32,0,0,4,90
148079,533890,15,32,0,0,4,90
148079,533891,15,32,0,0,2,0
148079,533891,15,32,0,0,2,0
148079,533891,15,32,0,0,2,0
148081,533893,20,32,0,0,1,0
148081,533893,20,32,0,0,1,0
148081,533894,20,32,0,0,1,90
148081,533894,20,32,0,0,1,90
148081,533895,20,32,0,0,1,270
148081,533895,20,32,0,0,1,270
148081,533896,20,32,0,0,1,270
148081,533896,20,32,0,0,1,270
148081,533897,20,32,0,0,1,270
148081,533898,20,32,0,0,1,0
148081,533899,20,32,0,0,1,270
148081,533900,20,32,0,0,1,90
148081,533900,20,32,0,0,1,90
148081,533901,20,32,0,0,1,0
148081,533902,20,32,0,0,1,270
148081,533902,20,32,0,0,1,270
148081,533903,20,32,0,0,1,0
148081,533904,20,32,0,0,1,90
