wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
147716,528459,0,65,60,0,0,0
147718,528471,0,65,60,0,0,0
147834,529910,0,32,8,0,0,180
147834,529911,0,32,8,0,0,180
147834,529913,0,32,4,0,0,180
147834,529912,0,32,4,0,0,180
147927,531392,0,50,1,0,0,270
147950,531729,0,40,16,0,0,180
147950,531730,0,40,3,0,0,180
147950,531731,0,40,3,0,0,180
147952,531766,0,32,1,0,0,90
147945,531662,0,32,30,0,0,90
147958,531896,0,40,1,0,0,180
147991,532349,0,32,10,0,0,270
147991,532350,0,32,10,0,0,270
147991,532351,0,32,10,0,0,270
148004,532684,0,32,1,0,0,270
148004,532692,0,32,1,0,0,270
148019,533031,0,32,1,0,0,180
148019,533032,0,32,16,0,0,180
148019,533033,0,32,1,0,0,180
148019,533034,0,32,1,0,0,180
148019,533035,0,32,3,0,0,180
148019,533036,0,32,3,0,0,180
148035,533261,0,32,1,0,0,0
148035,533272,0,32,1,0,0,180
148035,533270,0,32,1,0,0,180
148082,533917,0,40,3,0,0,180
148082,533918,0,40,3,0,0,180
147994,532397,0,32,10,0,0,90
147994,532395,0,32,10,0,0,270
147994,532396,0,32,10,0,0,270
147994,532394,0,32,20,0,0,90
147994,532398,0,32,10,0,0,270
421302,534150,0,32,4,0,0,0
421315,534501,0,32,3,0,0,180
421315,534502,0,32,4,0,0,180
421315,534503,0,32,1,0,0,180
148144,534986,0,32,16,0,0,180
148208,536133,0,32,1,0,0,90
148208,536132,0,32,2,0,0,270
148208,536131,0,32,1,0,0,270
148208,536130,0,32,2,0,0,90
148208,536128,0,32,3,0,0,90
148208,536127,0,32,2,0,0,270
148208,536125,0,32,1,0,0,270
148208,536123,0,32,1,0,0,270
148208,536121,0,32,1,0,0,90
148208,536120,0,32,1,0,0,90
148235,536554,0,32,1,0,0,0
148235,536553,0,32,6,0,0,0
148235,536552,0,32,5,0,0,0
148262,537033,0,32,4,0,0,180
148262,537034,0,32,4,0,0,180
148262,537035,0,32,1,0,0,180
148263,537036,0,32,9,0,0,180
148263,537037,0,32,4,0,0,180
148264,537038,0,40,3,0,0,180
148267,537068,0,32,2,0,0,180
148196,535932,0,32,9,0,0,270
148282,537315,0,40,1,0,0,90
148332,537959,0,50,26,0,0,180
148332,537958,0,50,26,0,0,180
148342,538340,0,50,3,0,0,180
148342,538341,0,50,24,0,0,180
148342,538342,0,50,1,0,0,180
148342,538343,0,50,1,0,0,90
148368,538592,0,32,1,0,0,180
148368,538593,0,32,1,0,0,180
148347,538378,0,40,1,0,0,270
148347,538378,0,40,1,0,0,270
148347,538375,0,40,12,0,0,180
148347,538379,0,40,2,0,0,270
148347,538377,0,40,1,0,0,90
148347,538377,0,40,1,0,0,90
148347,538376,0,40,3,0,0,270
148386,538865,0,32,5,0,0,270
148386,538866,0,32,4,0,0,270
79746,539177,0,32,55,0,0,180
79746,539178,0,32,8,0,0,180
79746,539179,0,32,8,0,0,180
148427,539445,0,50,6,0,0,90
148427,539446,0,50,6,0,0,270
148429,539448,0,65,6,0,0,180
148434,539643,0,50,1,0,0,0
148434,539650,0,50,1,0,0,180
148434,539651,0,50,1,0,0,180
148434,539642,0,50,1,0,0,180
148434,539645,0,50,1,0,0,180
148434,539646,0,50,1,0,0,0
148434,539646,0,50,1,0,0,180
148434,539644,0,50,1,0,0,180
148434,539644,0,50,1,0,0,0
148434,539647,0,50,1,0,0,180
148492,540500,0,32,8,0,0,180
148492,540501,0,32,8,0,0,0
148493,540502,0,65,11,0,0,0
148493,540504,0,65,10,0,0,0
148493,540503,0,65,24,0,0,0
148520,540969,0,32,7,0,0,180
148524,540996,0,40,5,0,0,180
148528,541160,0,32,2,0,0,180
148528,541161,0,32,22,0,0,180
148550,541415,0,32,1,0,0,180
148550,541412,0,32,1,0,0,0
148550,541410,0,32,1,0,0,0
