wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnval,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,ElemDN,AnMuffenStutzenMaschine,Rohrdurchmesser,AnzahlRohre,beschbez,WN-Stutzen,Rohrstutzen,Sche./Bo./Bl.,"handschw. Muff./Nippel",Bögen,Redu./Einzieh.,Flachflansch
91166,677325,StrangrohrData,996294,40,400010,4200389167,40,10340540000,TH81,32,3406,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,32,1,-,0,0,0,1,0,0,0
91381,679842,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V24,50,3997,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,2,-,0,0,0,0,0,0,0
91381,679843,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V26,50,748,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,1,-,0,0,0,0,0,0,0
91381,679844,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V27,50,4751,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,2,-,0,0,0,0,0,0,0
91381,679845,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V35,50,5035,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,1,-,0,0,0,0,0,0,0
91381,679846,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V36,50,4284,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,1,-,0,0,0,0,0,0,0
91381,679847,StrangrohrData,999810,10,400010,4200391040,10,10346660000,V37,50,336,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,0,0,50,2,-,0,0,0,0,0,0,0
155601,662325,StrangrohrData,975591,30,400020,4200378339,30,10343120000,CS6,40,6797,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",10,90,40,18,-,0,0,0,0,0,0,0
155601,662326,StrangrohrData,975591,30,400020,4200378339,30,10343120000,CS7,40,6797,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",10,90,40,18,-,0,0,0,0,0,0,0
155602,662327,StrangrohrData,975591,40,400020,4200378339,40,10343120000,CS12,40,6278,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",10,90,40,18,-,0,0,0,0,0,0,0
155602,662328,StrangrohrData,975591,40,400020,4200378339,40,10343120000,CS13,40,6278,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",10,90,40,18,-,0,0,0,0,0,0,0
156076,669075,StrangrohrData,986279,30,400020,4200383715,30,10340540000,BS2,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,720,32,72,-,0,0,0,0,0,0,0
156077,669076,StrangrohrData,986279,40,400020,4200383715,40,10340540000,KOA2,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,96,32,24,-,0,0,0,0,0,0,0
156077,669077,StrangrohrData,986279,40,400020,4200383715,40,10340540000,KOM2,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,48,32,12,-,0,0,0,0,0,0,0
156078,669078,StrangrohrData,986279,50,400020,4200383715,50,10340540000,BS6,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,120,32,12,-,12,0,0,0,0,0,0
156078,669079,StrangrohrData,986279,50,400020,4200383715,50,10340540000,BS7,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,120,32,12,-,12,0,0,0,0,0,0
156079,669080,StrangrohrData,986279,60,400020,4200383715,60,10340540000,KOA3,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,16,32,4,-,4,0,0,0,0,0,0
156079,669081,StrangrohrData,986279,60,400020,4200383715,60,10340540000,KOA6,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,16,32,4,-,4,0,0,0,0,0,0
156079,669082,StrangrohrData,986279,60,400020,4200383715,60,10340540000,KOM3,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,16,32,4,-,4,0,0,0,0,0,0
156080,669083,StrangrohrData,986279,70,400020,4200383715,70,10340540000,BS3,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,320,32,40,-,40,0,0,0,0,0,0
156080,669084,StrangrohrData,986279,70,400020,4200383715,70,10340540000,BS4,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,192,32,24,-,24,0,0,0,0,0,0
156080,669085,StrangrohrData,986279,70,400020,4200383715,70,10340540000,BS5,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,320,32,40,-,40,0,0,0,0,0,0
156252,672025,StrangrohrData,989470,30,400020,4200385420,30,10340540000,2KO3,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,36,32,18,-,0,0,0,0,0,0,0
156252,672026,StrangrohrData,989470,30,400020,4200385420,30,10340540000,2KO4,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,36,32,18,-,0,0,0,0,0,0,0
156252,672027,StrangrohrData,989470,30,400020,4200385420,30,10340540000,2KO5,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,54,32,18,-,0,0,0,0,0,0,0
156253,672028,StrangrohrData,989470,40,400020,4200385420,40,10340540000,DO1,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,432,32,72,-,0,0,0,0,0,0,0
156254,672029,StrangrohrData,989470,50,400020,4200385420,50,10340540000,DO2,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,18,32,3,-,3,0,0,0,0,0,0
156254,672030,StrangrohrData,989470,50,400020,4200385420,50,10340540000,DO3,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,18,32,3,-,3,0,0,0,0,0,0
156254,672031,StrangrohrData,989470,50,400020,4200385420,50,10340540000,DO4,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,36,32,6,-,6,0,0,0,0,0,0
156255,672032,StrangrohrData,989470,60,400020,4200385420,60,10340540000,2KO7,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,6,32,3,-,3,0,0,0,0,0,0
156255,672033,StrangrohrData,989470,60,400020,4200385420,60,10340540000,2KO11,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,6,32,3,-,3,0,0,0,0,0,0
156255,672034,StrangrohrData,989470,60,400020,4200385420,60,10340540000,2KO12,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,6,32,3,-,3,0,0,0,0,0,0
156256,672035,StrangrohrData,989470,70,400020,4200385420,70,10340540000,AS4,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,132,32,33,-,33,0,0,0,0,0,0
156257,672036,StrangrohrData,989470,80,400020,4200385420,80,10340540000,AS3,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,72,32,18,-,18,0,0,0,0,0,0
156258,672037,StrangrohrData,989470,90,400020,4200385420,90,10340540000,AS2,32,5638,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,132,32,33,-,33,0,0,0,0,0,0
156328,673026,StrangrohrData,990353,30,400020,4200385947,30,10340540000,4PKO5,40,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,8,40,2,-,2,0,0,0,0,0,0
156328,673027,StrangrohrData,990353,30,400020,4200385947,30,10340540000,4PKO6,40,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,8,40,2,-,2,0,0,0,0,0,0
156330,673031,StrangrohrData,990353,50,400020,4200385947,50,10340540000,BS2.3,32,9662,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,20,32,2,-,0,0,0,2,0,0,0
156330,673032,StrangrohrData,990353,50,400020,4200385947,50,10340540000,BS2.5,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,60,32,6,-,6,0,0,0,0,0,0
156331,673033,StrangrohrData,990353,60,400020,4200385947,60,10340540000,BS1.6,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,160,32,20,-,20,0,0,0,0,0,0
156331,673034,StrangrohrData,990353,60,400020,4200385947,60,10340540000,BS1.7,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,16,32,2,-,2,0,0,0,0,0,0
156334,673040,StrangrohrData,990353,90,400020,4200385947,90,10340540000,4PAK1,32,9340,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,80,32,10,-,0,0,0,0,0,0,0
156334,673041,StrangrohrData,990353,90,400020,4200385947,90,10340540000,4PAK2,32,9340,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,10,32,1,-,0,0,0,0,0,0,0
156334,673042,StrangrohrData,990353,90,400020,4200385947,90,10340540000,4PAK3,32,9338,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,70,32,10,-,0,0,0,10,0,0,0
156334,673043,StrangrohrData,990353,90,400020,4200385947,90,10340540000,4PAK4,32,9338,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,8,32,1,-,0,0,0,2,0,0,0
156335,673044,StrangrohrData,990353,100,400020,4200385947,100,10340540000,4PAV2,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe gek(7)",25,160,32,20,-,0,0,0,0,0,0,0
156335,673045,StrangrohrData,990353,100,400020,4200385947,100,10340540000,4PAV4,32,9317,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe gek(7)",25,20,32,2,-,0,0,0,0,0,0,0
156335,673046,StrangrohrData,990353,100,400020,4200385947,100,10340540000,4PAV5,32,9097,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe gek(7)",25,80,32,10,-,0,0,0,0,0,0,0
156335,673047,StrangrohrData,990353,100,400020,4200385947,100,10340540000,4PAV6,32,9097,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe gek(7)",25,9,32,1,-,0,0,0,0,0,0,0
156336,673048,StrangrohrData,990353,110,400020,4200385947,110,10340540000,4PAV1,32,10916,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe gek(7)",25,100,32,10,-,10,0,10,0,0,0,0
156336,673049,StrangrohrData,990353,110,400020,4200385947,110,10340540000,4PAV3,32,9662,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe gek(7)",25,10,32,1,-,0,0,0,1,0,0,0
156354,673353,StrangrohrData,990672,40,400020,4200386128,40,10335890000,5,32,5498,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,18,32,9,-,0,0,0,0,0,0,0
156354,673354,StrangrohrData,990672,40,400020,4200386128,40,10335890000,6,32,3147,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe (6)",15,28,32,14,-,0,0,14,0,0,0,0
156354,673355,StrangrohrData,990672,40,400020,4200386128,40,10335890000,12,32,5498,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,10,32,5,-,0,0,0,0,0,0,0
156354,673356,StrangrohrData,990672,40,400020,4200386128,40,10335890000,22,32,5498,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,2,32,1,-,0,0,0,0,0,0,0
156354,673357,StrangrohrData,990672,40,400020,4200386128,40,10335890000,23,32,5498,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,6,32,2,-,0,0,0,0,0,0,0
156354,673358,StrangrohrData,990672,40,400020,4200386128,40,10335890000,24,32,5181,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,2,32,1,-,0,0,0,0,0,0,0
156354,673359,StrangrohrData,990672,40,400020,4200386128,40,10335890000,25,32,5847,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe (6)",15,3,32,1,-,0,0,1,0,0,0,0
156354,673360,StrangrohrData,990672,40,400020,4200386128,40,10335890000,27,32,3147,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe (6)",15,2,32,1,-,0,0,1,0,0,0,0
156354,673361,StrangrohrData,990672,40,400020,4200386128,40,10335890000,28,32,3147,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe (6)",15,4,32,2,-,0,0,2,0,0,0,0
156354,673362,StrangrohrData,990672,40,400020,4200386128,40,10335890000,34,32,5998,"DINEN10217-1-Fe -glatt",Nut,Nut,"RobbiMuffe (6)",15,8,32,4,-,0,0,0,0,0,0,0
156354,673363,StrangrohrData,990672,40,400020,4200386128,40,10335890000,35,32,5347,"DINEN10217-1-Fe -glatt",Scheibe,Nut,"RobbiMuffe (6)",15,10,32,5,-,0,0,5,0,0,0,0
