wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr
156253,672028,CadWerkauftragData,989470,40,400020,4200385420,40,10340540000,DO1
211546,673899,ApaxData,990853,50,400030,4200386236,50,1033543100,1
211547,673903,ApaxData,990859,50,400030,4200386235,50,1033543200,3
211548,673905,ApaxData,990879,50,400030,4200386318,50,1033543300,3
211588,678655,ApaxData,996961,50,400030,4200389578,50,1033543500,1
211589,678656,ApaxData,996979,50,400030,4200389576,50,1033543600,1
306182,676386,FormstueckeUndFittingeDaten,994026,10,400035,4200387960,10,1034135000,1
306183,677264,FormstueckeUndFittingeDaten,994905,10,400040,4200388380,10,1034317000,1
306185,677387,FormstueckeUndFittingeDaten,996283,50,400035,4200389146,50,1034135000,1
306186,677548,FormstueckeUndFittingeDaten,996484,40,400035,4200389374,40,1033689000,1
306187,677746,FormstueckeUndFittingeDaten,996208,20,400035,4200389515,20,1034655000,1
306187,677747,FormstueckeUndFittingeDaten,996208,20,400035,4200389515,20,1034655000,2
306188,678388,FormstueckeUndFittingeDaten,997156,50,400035,4200389662,50,1034135000,1
306190,678973,FormstueckeUndFittingeDaten,998134,20,400035,4200390148,20,0000000000,2
306191,679294,FormstueckeUndFittingeDaten,998982,30,400035,4200390552,30,1034610000,1
306192,679401,FormstueckeUndFittingeDaten,999273,20,400035,4200390732,20,1034610000,1
423565,667569,ApaxData,4200378928,430,400015,4200378928,430,0000000000,1
423612,670813,ApaxData,987863,10,400041,4200384524,10,1034843000,1
423613,670840,ApaxData,987863,20,400041,4200384524,20,1034843000,1
423626,673589,ApaxData,990576,50,400041,4200386089,50,1033543100,1
423627,673590,ApaxData,990597,50,400041,4200386091,50,1033543200,1
423630,673904,ApaxData,990603,50,400041,4200386092,50,1033543300,1
423632,673910,ApaxData,4200385303,220,400015,4200385303,220,0000000000,1
423633,673981,ApaxData,965718,180,400016,4200386314,180,2001498100,1
423634,673990,ApaxData,971878,210,400016,4200386316,210,2001498100,1
423635,673991,ApaxData,990945,20,400041,4200386331,20,1033543200,1
423636,673992,ApaxData,990945,10,400041,4200386331,10,1033543200,2
423637,673993,ApaxData,990941,60,400041,4200386330,60,1033543100,3
423638,673994,ApaxData,990941,50,400041,4200386330,50,1033543100,4
423639,673995,ApaxData,971878,220,400016,4200386316,220,2001498100,1
423640,673997,ApaxData,990941,20,400041,4200386330,20,1033543100,1
423641,674019,ApaxData,990941,30,400041,4200386330,30,1033543100,2
423642,674020,ApaxData,990941,40,400041,4200386330,40,1033543100,3
423645,674155,ApaxData,990953,30,400041,4200386332,30,1033543300,1
423646,674156,ApaxData,990953,40,400041,4200386332,40,1033543300,2
423647,674157,ApaxData,990953,50,400041,4200386332,50,1033543300,3
423648,674158,ApaxData,990953,60,400041,4200386332,60,1033543300,4
423649,674159,ApaxData,990941,10,400041,4200386330,10,1033543100,5
423651,674189,ApaxData,990879,70,400041,4200386318,70,1033543300,1
423652,674190,ApaxData,990953,20,400041,4200386332,20,1033543300,1
423654,674192,ApaxData,990953,10,400041,4200386332,10,1033543300,2
423655,674193,ApaxData,990945,60,400041,4200386331,60,1033543200,3
423656,674194,ApaxData,990945,50,400041,4200386331,50,1033543200,4
423657,674195,ApaxData,990945,40,400041,4200386331,40,1033543200,5
423665,674382,ApaxData,990853,70,400041,4200386236,70,1033543100,1
423666,674384,ApaxData,990859,70,400041,4200386235,70,1033543200,1
423675,674884,ApaxData,991818,230,400040,4200386764,230,1034819000,1
423688,676220,ApaxData,992233,30,400015,4200386995,30,1032470000,1
423689,676430,ApaxData,4200385383,330,400015,4200385383,330,0000000000,1
423690,676451,ApaxData,993835,10,400040,4200387846,10,1034186000,1
423698,676674,ApaxData,994559,10,400016,4200388258,10,1033026000,1
423699,676677,ApaxData,994213,20,400040,4200388186,20,1034355000,1
423704,677261,ApaxData,994829,110,400040,4200388357,110,1034733000,1
423705,677263,ApaxData,995363,10,400041,4200388644,10,0000000000,1
423707,677260,ApaxData,995694,20,400040,4200388810,20,1034785000,VT2
423710,677306,ApaxData,995312,80,400015,4200388579,80,1032470000,1
423711,677307,ApaxData,995312,90,400015,4200388579,90,1032470000,1
423712,677342,ApaxData,996335,30,400040,4200389176,30,1034001000,FWF
423714,677430,ApaxData,996111,10,400041,4200389098,10,1034468000,1
423715,677435,ApaxData,996239,10,400041,4200389128,10,0000000000,1
423717,677958,ApaxData,996449,50,400041,4200389343,50,1033543400,1
423718,677997,ApaxData,996463,70,400041,4200389344,70,1033543400,1
423719,678008,ApaxData,996486,10,400041,4200389347,10,1033543400,1
423720,678009,ApaxData,996486,20,400041,4200389347,20,1033543400,1
423721,678184,ApaxData,996486,30,400041,4200389347,30,1033543400,1
423722,678272,ApaxData,996486,40,400041,4200389347,40,1033543400,1
423723,678273,ApaxData,996486,50,400041,4200389347,50,1033543400,1
423724,678274,ApaxData,996486,60,400041,4200389347,60,1033543400,1
